Dia,Hora,Minuto,Segundo,Microsegundo,presion,flujo
2020-09-30,12,30,46,478692,-0.6,4.6
2020-09-30,12,30,46,548085,-0.6,4.7
2020-09-30,12,30,46,600811,-0.5,4.5
2020-09-30,12,30,46,648367,-0.6,4.4
2020-09-30,12,30,46,697220,-0.5,4.3
2020-09-30,12,30,46,745234,-0.3,4.1
2020-09-30,12,30,46,796736,-0.2,4.0
2020-09-30,12,30,46,843069,-0.6,4.0
2020-09-30,12,30,46,890001,-0.1,3.9
2020-09-30,12,30,46,936940,-0.1,3.8
2020-09-30,12,30,46,981875,-0.3,3.8
2020-09-30,12,30,47,26388,0.0,3.8
2020-09-30,12,30,47,73848,0.0,4.0
2020-09-30,12,30,47,130516,0.0,3.9
2020-09-30,12,30,47,186172,3.9,4.3
2020-09-30,12,30,47,242918,6.2,5.1
2020-09-30,12,30,47,300176,7.4,6.1
2020-09-30,12,30,47,355342,7.7,7.2
2020-09-30,12,30,47,410616,8.8,8.7
2020-09-30,12,30,47,455122,9.6,10.1
2020-09-30,12,30,47,511880,10.2,11.5
2020-09-30,12,30,47,560649,10.5,13.3
2020-09-30,12,30,47,606666,11.7,14.6
2020-09-30,12,30,47,651877,11.5,16.2
2020-09-30,12,30,47,707875,12.2,18.0
2020-09-30,12,30,47,756543,12.4,19.6
2020-09-30,12,30,47,802142,13.3,21.7
2020-09-30,12,30,47,848439,13.9,23.3
2020-09-30,12,30,47,893961,14.7,25.2
2020-09-30,12,30,47,940744,15.3,26.9
2020-09-30,12,30,47,986455,15.4,28.7
2020-09-30,12,30,48,35277,15.9,30.7
2020-09-30,12,30,48,91433,17.5,32.7
2020-09-30,12,30,48,139949,18.1,34.9
2020-09-30,12,30,48,185595,18.5,37.2
2020-09-30,12,30,48,230740,19.0,39.0
2020-09-30,12,30,48,286947,19.6,40.9
2020-09-30,12,30,48,332323,20.0,43.2
2020-09-30,12,30,48,377292,20.0,45.0
2020-09-30,12,30,48,423558,19.9,46.8
2020-09-30,12,30,48,468188,18.9,48.4
2020-09-30,12,30,48,513792,18.7,50.0
2020-09-30,12,30,48,569956,18.7,51.4
2020-09-30,12,30,48,617939,15.8,53.0
2020-09-30,12,30,48,674093,11.9,53.8
2020-09-30,12,30,48,720219,6.2,54.4
2020-09-30,12,30,48,766583,-0.4,53.9
2020-09-30,12,30,48,822326,-0.4,52.9
2020-09-30,12,30,48,869447,-7.6,51.5
2020-09-30,12,30,48,925203,-30.4,48.0
2020-09-30,12,30,48,972380,-39.9,44.1
2020-09-30,12,30,49,19063,-35.1,40.4
2020-09-30,12,30,49,65606,-32.2,37.3
2020-09-30,12,30,49,110778,-29.7,34.3
2020-09-30,12,30,49,157008,-26.9,31.6
2020-09-30,12,30,49,202627,-25.4,28.9
2020-09-30,12,30,49,248995,-23.6,26.4
2020-09-30,12,30,49,305537,-21.1,23.9
2020-09-30,12,30,49,352362,-21.1,21.6
2020-09-30,12,30,49,399587,-21.1,19.4
2020-09-30,12,30,49,444077,-13.2,18.0
2020-09-30,12,30,49,490404,-11.7,16.5
2020-09-30,12,30,49,547008,-9.6,16.5
2020-09-30,12,30,49,593232,-7.4,14.3
2020-09-30,12,30,49,641980,-4.7,14.0
2020-09-30,12,30,49,687210,-4.7,13.8
2020-09-30,12,30,49,735391,-3.7,13.0
2020-09-30,12,30,49,792164,-3.3,12.9
2020-09-30,12,30,49,838503,-2.7,12.3
2020-09-30,12,30,49,884529,-2.5,12.3
2020-09-30,12,30,49,930267,-2.6,11.5
2020-09-30,12,30,49,986856,-2.4,11.3
2020-09-30,12,30,50,32248,-2.2,10.9
2020-09-30,12,30,50,76717,-2.5,10.8
2020-09-30,12,30,50,124826,-1.8,10.4
2020-09-30,12,30,50,178362,-2.1,10.4
2020-09-30,12,30,50,224302,-1.6,9.8
2020-09-30,12,30,50,274464,-1.5,9.5
2020-09-30,12,30,50,330309,-1.7,9.6
2020-09-30,12,30,50,385551,-1.7,9.0
2020-09-30,12,30,50,432347,-1.6,8.7
2020-09-30,12,30,50,487772,-1.3,8.7
2020-09-30,12,30,50,536178,-1.3,8.5
2020-09-30,12,30,50,591965,-1.3,8.5
2020-09-30,12,30,50,640587,-1.1,7.8
2020-09-30,12,30,50,690436,-1.2,7.8
2020-09-30,12,30,50,738134,-1.2,7.6
2020-09-30,12,30,50,794592,-0.9,7.4
2020-09-30,12,30,50,841597,-1.2,7.0
2020-09-30,12,30,50,890418,-1.1,6.8
2020-09-30,12,30,50,940758,-1.0,6.6
2020-09-30,12,30,50,985640,-1.2,6.5
2020-09-30,12,30,51,30563,-0.8,6.3
2020-09-30,12,30,51,76152,-0.7,6.3
2020-09-30,12,30,51,123901,-0.8,6.1
2020-09-30,12,30,51,178539,-0.9,6.3
2020-09-30,12,30,51,225932,-0.6,5.8
2020-09-30,12,30,51,273891,-0.8,6.0
2020-09-30,12,30,51,319176,-1.0,5.5
2020-09-30,12,30,51,363715,-0.8,5.4
2020-09-30,12,30,51,409825,-0.7,5.3
2020-09-30,12,30,51,457892,-0.8,5.1
2020-09-30,12,30,51,513936,-0.5,5.1
2020-09-30,12,30,51,559639,-0.5,5.1
2020-09-30,12,30,51,607541,-0.5,5.1
2020-09-30,12,30,51,652124,-0.3,5.1
2020-09-30,12,30,51,697294,-0.8,4.9
2020-09-30,12,30,51,742713,-0.8,4.7
2020-09-30,12,30,51,790667,-0.8,4.5
2020-09-30,12,30,51,837506,-0.8,4.4
2020-09-30,12,30,51,893461,-0.6,4.4
2020-09-30,12,30,51,938825,-0.6,4.4
2020-09-30,12,30,51,990832,-0.3,4.3
2020-09-30,12,30,52,37054,-0.6,4.1
2020-09-30,12,30,52,82553,-0.6,4.0
2020-09-30,12,30,52,138148,-0.5,4.0
2020-09-30,12,30,52,190881,-0.3,3.9
2020-09-30,12,30,52,236324,-0.3,3.8
2020-09-30,12,30,52,282618,-0.4,4.1
2020-09-30,12,30,52,327806,-0.1,3.6
2020-09-30,12,30,52,374626,-0.3,3.6
2020-09-30,12,30,52,430740,-0.4,3.9
2020-09-30,12,30,52,477297,2.7,4.1
2020-09-30,12,30,52,524087,5.9,4.9
2020-09-30,12,30,52,580421,5.9,5.3
2020-09-30,12,30,52,624976,7.2,6.6
2020-09-30,12,30,52,678764,7.8,7.7
2020-09-30,12,30,52,729193,8.8,8.7
2020-09-30,12,30,52,773862,9.1,10.1
2020-09-30,12,30,52,818780,10.2,11.8
2020-09-30,12,30,52,875228,10.2,13.0
2020-09-30,12,30,52,921158,11.5,14.7
2020-09-30,12,30,52,965955,11.2,16.4
2020-09-30,12,30,53,11476,12.4,17.4
2020-09-30,12,30,53,58024,12.4,19.2
2020-09-30,12,30,53,105311,13.4,21.0
2020-09-30,12,30,53,151153,13.4,22.6
2020-09-30,12,30,53,196932,14.3,24.4
2020-09-30,12,30,53,244932,14.7,26.4
2020-09-30,12,30,53,292917,15.6,28.2
2020-09-30,12,30,53,338838,15.5,30.2
2020-09-30,12,30,53,390764,15.5,31.9
2020-09-30,12,30,53,438202,17.3,34.2
2020-09-30,12,30,53,483638,18.2,36.3
2020-09-30,12,30,53,529560,18.8,38.4
2020-09-30,12,30,53,576821,19.3,40.3
2020-09-30,12,30,53,622176,19.8,42.4
2020-09-30,12,30,53,678244,19.8,43.7
2020-09-30,12,30,53,730282,19.3,46.3
2020-09-30,12,30,53,777179,19.1,48.1
2020-09-30,12,30,53,825598,18.8,49.8
2020-09-30,12,30,53,871493,18.3,51.2
2020-09-30,12,30,53,928113,16.8,52.4
2020-09-30,12,30,53,975937,12.3,52.4
2020-09-30,12,30,54,24271,7.6,54.6
2020-09-30,12,30,54,80648,2.1,54.4
2020-09-30,12,30,54,127224,-9.6,53.1
2020-09-30,12,30,54,174406,-12.6,51.7
2020-09-30,12,30,54,220717,-16.6,49.8
2020-09-30,12,30,54,265883,-46.4,45.5
2020-09-30,12,30,54,311120,-34.2,42.0
2020-09-30,12,30,54,360240,-32.3,38.8
2020-09-30,12,30,54,405807,-31.3,35.9
2020-09-30,12,30,54,452850,-27.7,32.9
2020-09-30,12,30,54,499973,-26.3,30.1
2020-09-30,12,30,54,547307,-23.3,27.4
2020-09-30,12,30,54,594359,-22.0,24.8
2020-09-30,12,30,54,644224,-19.7,24.8
2020-09-30,12,30,54,696384,-17.6,24.8
2020-09-30,12,30,54,743075,-14.9,18.6
2020-09-30,12,30,54,792865,-13.4,17.2
2020-09-30,12,30,54,838756,-10.4,15.7
2020-09-30,12,30,54,890846,-8.3,14.6
2020-09-30,12,30,54,939941,-5.7,14.2
2020-09-30,12,30,54,985428,-4.5,13.6
2020-09-30,12,30,55,33502,-4.2,13.1
2020-09-30,12,30,55,82759,-3.6,12.8
2020-09-30,12,30,55,127906,-3.7,12.4
2020-09-30,12,30,55,175605,-3.4,11.9
2020-09-30,12,30,55,223298,-3.0,11.7
2020-09-30,12,30,55,269021,-2.5,11.4
2020-09-30,12,30,55,316288,-2.4,11.1
2020-09-30,12,30,55,365431,-2.2,10.7
2020-09-30,12,30,55,410322,-2.2,10.3
2020-09-30,12,30,55,458430,-2.5,10.1
2020-09-30,12,30,55,505872,-2.5,9.9
2020-09-30,12,30,55,552757,-1.9,9.5
2020-09-30,12,30,55,598832,-2.0,9.1
2020-09-30,12,30,55,645519,-2.0,9.1
2020-09-30,12,30,55,695741,-1.7,8.6
2020-09-30,12,30,55,742741,-1.5,8.5
2020-09-30,12,30,55,793242,-1.8,8.2
2020-09-30,12,30,55,838849,-1.8,8.0
2020-09-30,12,30,55,891050,-1.6,7.7
2020-09-30,12,30,55,942363,-1.7,7.5
2020-09-30,12,30,55,991325,-1.4,7.2
2020-09-30,12,30,56,36340,-1.6,6.9
2020-09-30,12,30,56,86022,-1.3,6.8
