Dia,Hora,Minuto,Segundo,Microsegundo,presion,flujo
2020-09-30,12,26,24,225909,-12.6,15.7
2020-09-30,12,26,24,282936,-10.0,14.3
2020-09-30,12,26,24,338277,-7.5,13.3
2020-09-30,12,26,24,397804,-5.4,13.3
2020-09-30,12,26,24,444495,-4.9,11.7
2020-09-30,12,26,24,494010,-4.8,11.4
2020-09-30,12,26,24,543789,-4.2,10.8
2020-09-30,12,26,24,590459,-3.8,10.5
2020-09-30,12,26,24,647239,-3.7,10.4
2020-09-30,12,26,24,693304,-3.3,10.1
2020-09-30,12,26,24,739681,-3.1,9.6
2020-09-30,12,26,24,785093,-2.8,8.8
2020-09-30,12,26,24,838996,-2.6,8.7
2020-09-30,12,26,24,889317,-2.4,8.7
2020-09-30,12,26,24,934843,-2.3,8.4
2020-09-30,12,26,24,983074,-1.9,8.4
2020-09-30,12,26,25,39474,-1.9,7.8
2020-09-30,12,26,25,84485,-1.8,7.8
2020-09-30,12,26,25,130706,-1.6,7.2
2020-09-30,12,26,25,178677,-1.5,7.0
2020-09-30,12,26,25,223190,-1.5,7.0
2020-09-30,12,26,25,272724,-1.6,6.4
2020-09-30,12,26,25,318212,-1.5,6.2
2020-09-30,12,26,25,363197,-0.7,6.2
2020-09-30,12,26,25,408031,-1.5,5.9
2020-09-30,12,26,25,456262,-1.1,5.9
2020-09-30,12,26,25,502756,-1.1,5.7
2020-09-30,12,26,25,549378,-1.2,5.4
2020-09-30,12,26,25,596598,-0.7,5.6
2020-09-30,12,26,25,653391,-1.0,5.2
2020-09-30,12,26,25,699970,-0.6,5.1
2020-09-30,12,26,25,746062,-0.3,5.0
2020-09-30,12,26,25,792756,-0.2,5.1
2020-09-30,12,26,25,839573,3.7,5.7
2020-09-30,12,26,25,890912,3.7,6.8
2020-09-30,12,26,25,940830,12.7,8.5
2020-09-30,12,26,25,985453,14.5,8.5
2020-09-30,12,26,26,41917,16.5,12.9
2020-09-30,12,26,26,92693,17.9,15.9
2020-09-30,12,26,26,139640,17.9,18.7
2020-09-30,12,26,26,184397,17.9,21.2
2020-09-30,12,26,26,229386,22.6,24.2
2020-09-30,12,26,26,275906,24.2,26.8
2020-09-30,12,26,26,323985,26.1,29.9
2020-09-30,12,26,26,375871,28.0,33.3
2020-09-30,12,26,26,422999,29.9,37.1
2020-09-30,12,26,26,474550,31.2,40.0
2020-09-30,12,26,26,522606,32.6,43.2
2020-09-30,12,26,26,569696,32.8,46.6
2020-09-30,12,26,26,618429,32.7,49.5
2020-09-30,12,26,26,663892,30.1,52.4
2020-09-30,12,26,26,710938,25.6,54.1
2020-09-30,12,26,26,757016,19.4,55.4
2020-09-30,12,26,26,801766,11.4,56.2
2020-09-30,12,26,26,858428,11.4,55.9
2020-09-30,12,26,26,907751,-16.5,54.1
2020-09-30,12,26,26,964276,-9.1,52.6
2020-09-30,12,26,27,11186,-50.7,46.9
2020-09-30,12,26,27,58382,-36.3,43.5
2020-09-30,12,26,27,106398,-35.6,39.9
2020-09-30,12,26,27,155419,-32.7,36.7
2020-09-30,12,26,27,202099,-29.7,33.8
2020-09-30,12,26,27,246554,-27.8,31.0
2020-09-30,12,26,27,292047,-26.0,28.4
2020-09-30,12,26,27,339331,-23.6,25.8
2020-09-30,12,26,27,390485,-21.0,23.5
2020-09-30,12,26,27,439792,-19.0,23.5
2020-09-30,12,26,27,486472,-17.2,18.9
2020-09-30,12,26,27,539783,-14.2,17.1
2020-09-30,12,26,27,586274,-12.0,15.3
2020-09-30,12,26,27,633193,-9.9,14.2
2020-09-30,12,26,27,679131,-7.7,13.4
2020-09-30,12,26,27,724193,-6.0,13.0
2020-09-30,12,26,27,773927,-6.0,12.3
2020-09-30,12,26,27,824700,-4.8,12.3
2020-09-30,12,26,27,874653,-4.8,11.3
2020-09-30,12,26,27,923424,-3.7,10.8
2020-09-30,12,26,27,970026,-3.7,10.5
2020-09-30,12,26,28,16464,-3.6,9.9
2020-09-30,12,26,28,61165,-2.8,9.4
2020-09-30,12,26,28,108624,-3.1,9.2
2020-09-30,12,26,28,156608,-2.6,8.8
2020-09-30,12,26,28,213306,-2.7,8.8
2020-09-30,12,26,28,260289,-2.2,8.3
2020-09-30,12,26,28,306656,-1.9,7.9
2020-09-30,12,26,28,352957,-2.1,7.7
2020-09-30,12,26,28,399692,-1.5,7.4
2020-09-30,12,26,28,446036,-1.9,7.2
2020-09-30,12,26,28,491930,-1.5,7.0
2020-09-30,12,26,28,544269,-1.6,7.0
2020-09-30,12,26,28,591432,-1.5,6.7
2020-09-30,12,26,28,641390,-1.5,6.4
2020-09-30,12,26,28,687217,-1.5,6.3
2020-09-30,12,26,28,733237,-1.1,6.0
2020-09-30,12,26,28,783350,-1.3,6.2
2020-09-30,12,26,28,838804,-1.3,5.6
2020-09-30,12,26,28,889907,-0.8,5.8
2020-09-30,12,26,28,935957,-1.1,5.8
2020-09-30,12,26,28,985188,-1.0,5.2
2020-09-30,12,26,29,30648,-1.1,5.1
2020-09-30,12,26,29,78929,-0.6,5.3
2020-09-30,12,26,29,123694,-0.6,5.1
2020-09-30,12,26,29,174672,0.2,5.0
2020-09-30,12,26,29,220532,0.2,5.9
2020-09-30,12,26,29,266399,11.2,7.6
2020-09-30,12,26,29,311954,13.9,9.5
2020-09-30,12,26,29,357629,15.4,11.4
2020-09-30,12,26,29,406413,16.5,14.0
2020-09-30,12,26,29,456986,18.4,16.1
2020-09-30,12,26,29,506771,19.9,19.3
2020-09-30,12,26,29,556934,21.6,21.9
2020-09-30,12,26,29,603125,23.6,25.0
2020-09-30,12,26,29,649387,25.1,27.8
2020-09-30,12,26,29,706049,26.5,30.7
2020-09-30,12,26,29,752212,28.3,34.6
2020-09-30,12,26,29,796768,30.7,37.9
2020-09-30,12,26,29,841693,31.4,40.8
2020-09-30,12,26,29,890095,31.4,44.1
2020-09-30,12,26,29,935680,32.5,46.8
2020-09-30,12,26,29,984004,32.3,46.8
2020-09-30,12,26,30,30016,29.3,52.5
2020-09-30,12,26,30,74625,25.4,53.8
2020-09-30,12,26,30,123766,19.2,55.5
2020-09-30,12,26,30,170303,10.6,56.2
2020-09-30,12,26,30,215862,-1.9,56.2
2020-09-30,12,26,30,262297,-15.5,54.2
2020-09-30,12,26,30,308010,-9.8,52.9
2020-09-30,12,26,30,356987,-43.2,48.6
2020-09-30,12,26,30,404287,-40.2,44.8
2020-09-30,12,26,30,449401,-36.8,41.2
2020-09-30,12,26,30,494303,-34.1,37.8
2020-09-30,12,26,30,544710,-30.1,34.8
2020-09-30,12,26,30,592246,-28.1,31.8
2020-09-30,12,26,30,640323,-26.0,29.0
2020-09-30,12,26,30,688568,-24.0,26.3
2020-09-30,12,26,30,733815,-21.9,23.8
2020-09-30,12,26,30,782538,-19.5,21.7
2020-09-30,12,26,30,838888,-17.7,19.3
2020-09-30,12,26,30,890260,-14.5,19.3
2020-09-30,12,26,30,935424,-12.2,15.7
2020-09-30,12,26,30,981908,-12.2,14.7
2020-09-30,12,26,31,27349,-7.9,14.7
2020-09-30,12,26,31,74349,-5.7,14.7
2020-09-30,12,26,31,125127,-5.1,12.4
2020-09-30,12,26,31,170935,-5.1,11.8
2020-09-30,12,26,31,215815,-4.5,11.2
2020-09-30,12,26,31,264924,-4.2,11.1
2020-09-30,12,26,31,310468,-3.9,10.2
2020-09-30,12,26,31,357868,-3.6,10.0
2020-09-30,12,26,31,409506,-3.1,10.0
2020-09-30,12,26,31,454925,-2.8,9.3
2020-09-30,12,26,31,506798,-2.4,8.9
2020-09-30,12,26,31,557936,-2.2,8.7
2020-09-30,12,26,31,604714,-2.4,8.2
2020-09-30,12,26,31,651150,-2.3,8.2
2020-09-30,12,26,31,697908,-1.6,7.8
2020-09-30,12,26,31,743053,-1.6,7.6
2020-09-30,12,26,31,790444,-2.2,7.3
2020-09-30,12,26,31,839243,-1.5,7.3
2020-09-30,12,26,31,890838,-1.4,6.9
2020-09-30,12,26,31,940461,-1.5,6.8
2020-09-30,12,26,31,990119,-1.5,6.7
2020-09-30,12,26,32,35193,-1.2,6.2
2020-09-30,12,26,32,81614,-1.3,5.9
2020-09-30,12,26,32,126563,-1.2,5.9
2020-09-30,12,26,32,175078,-1.2,5.7
2020-09-30,12,26,32,226025,-1.3,5.5
2020-09-30,12,26,32,272765,-1.3,5.7
2020-09-30,12,26,32,323646,-0.6,5.3
2020-09-30,12,26,32,374612,-1.1,5.3
2020-09-30,12,26,32,423805,-0.6,5.2
2020-09-30,12,26,32,469791,-0.5,4.9
2020-09-30,12,26,32,518595,0.0,4.9
2020-09-30,12,26,32,563149,5.2,5.9
2020-09-30,12,26,32,619838,10.6,7.1
2020-09-30,12,26,32,669082,13.7,9.6
2020-09-30,12,26,32,716006,13.7,11.6
2020-09-30,12,26,32,761729,16.8,13.8
2020-09-30,12,26,32,808786,18.0,16.1
2020-09-30,12,26,32,857382,19.6,18.8
2020-09-30,12,26,32,907844,21.5,21.9
2020-09-30,12,26,32,964647,23.3,24.5
2020-09-30,12,26,33,10192,23.3,27.8
2020-09-30,12,26,33,60917,26.6,31.0
2020-09-30,12,26,33,112370,28.6,34.5
2020-09-30,12,26,33,161769,29.9,37.9
2020-09-30,12,26,33,212319,31.9,41.3
2020-09-30,12,26,33,261643,31.9,44.6
2020-09-30,12,26,33,315235,32.7,48.0
2020-09-30,12,26,33,364322,31.9,51.1
2020-09-30,12,26,33,416290,28.0,53.3
2020-09-30,12,26,33,467905,21.1,55.2
2020-09-30,12,26,33,517003,12.4,56.4
2020-09-30,12,26,33,568621,2.5,56.3
2020-09-30,12,26,33,617638,-14.5,54.1
2020-09-30,12,26,33,667492,-9.5,52.7
2020-09-30,12,26,33,716989,-47.2,52.7
2020-09-30,12,26,33,767549,-38.3,44.7
2020-09-30,12,26,33,817850,-36.9,41.0
2020-09-30,12,26,33,868222,-33.6,37.2
2020-09-30,12,26,33,918156,-29.3,34.1
2020-09-30,12,26,33,966412,-29.3,31.3
2020-09-30,12,26,34,17870,-25.0,28.2
2020-09-30,12,26,34,66872,-23.2,25.5
2020-09-30,12,26,34,116903,-20.7,22.7
2020-09-30,12,26,34,168272,-18.6,20.6
2020-09-30,12,26,34,220518,-17.3,18.5
2020-09-30,12,26,34,270554,-14.3,16.4
2020-09-30,12,26,34,319511,-11.7,16.4
2020-09-30,12,26,34,369919,-9.4,13.8
2020-09-30,12,26,34,419818,-9.4,13.1
2020-09-30,12,26,34,471936,-5.5,12.7
2020-09-30,12,26,34,523305,-4.8,11.9
2020-09-30,12,26,34,572265,-4.5,11.5
2020-09-30,12,26,34,623451,-4.1,10.8
2020-09-30,12,26,34,672317,-3.4,10.3
2020-09-30,12,26,34,723804,-3.4,9.9
2020-09-30,12,26,34,772984,-3.1,9.6
2020-09-30,12,26,34,823441,-2.6,9.2
2020-09-30,12,26,34,872708,-3.0,8.9
2020-09-30,12,26,34,923260,-2.4,8.7
2020-09-30,12,26,34,972735,-1.9,8.3
2020-09-30,12,26,35,23224,-2.2,7.9
2020-09-30,12,26,35,71285,-2.1,7.9
2020-09-30,12,26,35,122016,-2.1,7.7
2020-09-30,12,26,35,172823,-1.7,7.6
2020-09-30,12,26,35,222417,-1.8,7.6
2020-09-30,12,26,35,272422,-1.7,7.0
2020-09-30,12,26,35,323111,-1.4,6.7
2020-09-30,12,26,35,373206,-1.1,6.3
2020-09-30,12,26,35,417704,-1.1,6.3
2020-09-30,12,26,35,466686,-1.3,6.0
2020-09-30,12,26,35,518207,-1.2,5.6
2020-09-30,12,26,35,570024,-1.1,5.7
2020-09-30,12,26,35,621372,-1.0,5.5
2020-09-30,12,26,35,670274,-1.0,5.8
2020-09-30,12,26,35,720152,-0.9,5.1
2020-09-30,12,26,35,769356,-0.8,5.1
2020-09-30,12,26,35,818553,-0.3,5.1
2020-09-30,12,26,35,867877,-0.2,5.3
2020-09-30,12,26,35,918365,3.1,5.5
2020-09-30,12,26,35,967263,10.3,7.1
2020-09-30,12,26,36,16787,13.3,8.9
2020-09-30,12,26,36,68306,15.4,11.0
2020-09-30,12,26,36,116835,16.6,13.4
2020-09-30,12,26,36,167470,18.3,15.7
2020-09-30,12,26,36,212119,20.0,18.9
2020-09-30,12,26,36,261088,21.0,21.3
2020-09-30,12,26,36,310992,23.3,24.4
2020-09-30,12,26,36,356436,24.1,27.2
2020-09-30,12,26,36,403218,25.8,30.3
2020-09-30,12,26,36,453778,28.1,33.6
2020-09-30,12,26,36,506502,28.1,36.6
2020-09-30,12,26,36,553331,31.2,40.3
2020-09-30,12,26,36,603772,32.5,43.5
2020-09-30,12,26,36,655064,32.3,46.9
2020-09-30,12,26,36,706469,32.7,50.5
2020-09-30,12,26,36,756552,28.9,52.4
2020-09-30,12,26,36,807200,23.6,54.7
2020-09-30,12,26,36,856011,16.5,55.8
2020-09-30,12,26,36,904583,6.2,56.1
2020-09-30,12,26,36,953258,-6.2,54.8
2020-09-30,12,26,37,3827,-18.6,53.4
2020-09-30,12,26,37,60360,-23.5,50.5
2020-09-30,12,26,37,111834,-43.9,45.4
2020-09-30,12,26,37,161161,-37.0,41.4
2020-09-30,12,26,37,213268,-34.4,38.3
2020-09-30,12,26,37,264899,-30.0,35.0
2020-09-30,12,26,37,314834,-28.2,31.7
2020-09-30,12,26,37,364248,-25.8,28.5
2020-09-30,12,26,37,415145,-23.4,25.9
2020-09-30,12,26,37,471417,-21.5,23.4
2020-09-30,12,26,37,520507,-18.8,20.5
2020-09-30,12,26,37,571168,-16.9,18.6
2020-09-30,12,26,37,620258,-14.4,17.3
2020-09-30,12,26,37,670154,-11.9,15.3
2020-09-30,12,26,37,719975,-9.4,14.1
2020-09-30,12,26,37,769427,-6.6,13.2
2020-09-30,12,26,37,820374,-5.6,12.6
2020-09-30,12,26,37,868812,-5.2,12.6
2020-09-30,12,26,37,919985,-4.3,11.5
2020-09-30,12,26,37,969304,-4.1,11.5
2020-09-30,12,26,38,20357,-3.9,10.6
2020-09-30,12,26,38,69432,-3.2,10.6
2020-09-30,12,26,38,121191,-3.3,9.9
2020-09-30,12,26,38,172853,-2.7,9.4
2020-09-30,12,26,38,222759,-2.4,9.0
2020-09-30,12,26,38,273026,-2.5,8.6
2020-09-30,12,26,38,322783,-2.4,8.5
2020-09-30,12,26,38,374396,-1.8,8.1
2020-09-30,12,26,38,424202,-1.8,7.8
2020-09-30,12,26,38,475409,-1.9,7.5
2020-09-30,12,26,38,520023,-1.6,7.2
2020-09-30,12,26,38,570025,-1.1,7.1
2020-09-30,12,26,38,620035,-1.3,7.0
2020-09-30,12,26,38,669209,-1.5,6.6
2020-09-30,12,26,38,719236,-1.3,6.4
2020-09-30,12,26,38,763814,-1.3,6.3
2020-09-30,12,26,38,813164,-1.3,6.3
2020-09-30,12,26,38,859579,-1.2,6.0
2020-09-30,12,26,38,907883,-1.2,5.7
2020-09-30,12,26,38,953868,-1.4,5.7
2020-09-30,12,26,39,3506,-1.1,5.8
2020-09-30,12,26,39,52749,-1.5,5.4
2020-09-30,12,26,39,103431,-0.6,5.3
2020-09-30,12,26,39,152440,-0.4,5.3
2020-09-30,12,26,39,198789,-0.2,5.3
2020-09-30,12,26,39,249761,0.2,5.3
2020-09-30,12,26,39,300635,8.5,6.3
2020-09-30,12,26,39,351075,11.4,8.0
2020-09-30,12,26,39,403623,14.0,9.8
2020-09-30,12,26,39,453616,16.4,12.4
2020-09-30,12,26,39,503622,17.5,14.7
2020-09-30,12,26,39,553674,19.1,17.5
2020-09-30,12,26,39,598640,20.3,20.0
2020-09-30,12,26,39,648023,22.0,23.1
2020-09-30,12,26,39,697480,23.3,25.6
2020-09-30,12,26,39,743854,25.9,29.2
2020-09-30,12,26,39,795531,27.3,32.5
2020-09-30,12,26,39,844282,29.1,35.6
2020-09-30,12,26,39,896645,30.6,39.2
2020-09-30,12,26,39,947885,32.5,43.1
2020-09-30,12,26,40,1694,32.9,46.2
2020-09-30,12,26,40,49957,32.5,49.2
2020-09-30,12,26,40,100831,30.1,52.2
2020-09-30,12,26,40,150303,25.7,54.5
2020-09-30,12,26,40,202349,18.3,55.7
2020-09-30,12,26,40,253452,8.5,56.2
2020-09-30,12,26,40,305953,-3.5,55.8
